Date,Open,High,Low,Close,Adj Close
2014-09-17,3.7e-05,3.7e-05,3.6e-05,3.7e-05,3.7e-05
2014-09-18,3.7e-05,4.3e-05,3.6e-05,4.2e-05,4.2e-05
2014-09-19,4.2e-05,4.3e-05,8e-06,8e-06,8e-06
2014-09-20,8e-06,8e-06,8e-06,8e-06,8e-06
2014-09-21,8e-06,4e-05,8e-06,4e-05,4e-05
2014-09-22,4e-05,4.1e-05,1.2e-05,1.2e-05,1.2e-05
2014-09-23,1.2e-05,3.5e-05,1.2e-05,3.5e-05,3.5e-05
2014-09-24,3.5e-05,3.5e-05,3.5e-05,3.5e-05,3.5e-05
2014-09-25,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05
2014-09-26,1.2e-05,1.7e-05,1.2e-05,1.6e-05,1.6e-05
2014-09-27,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05
2014-09-28,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05
2014-09-29,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05
2014-09-30,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05
2014-10-01,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05
2014-10-02,1.2e-05,1.2e-05,7.000000000000002e-06,8e-06,8e-06
2014-10-03,8e-06,8e-06,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06
2014-10-04,,,,,
2014-10-05,1e-05,2.7e-05,6e-06,6e-06,6e-06
2014-10-06,6e-06,7.000000000000002e-06,6e-06,7.000000000000002e-06,7.000000000000002e-06
2014-10-07,7.000000000000002e-06,7.000000000000002e-06,6e-06,7.000000000000002e-06,7.000000000000002e-06
2014-10-08,7.000000000000002e-06,6.9e-05,7.000000000000002e-06,3.9e-05,3.9e-05
2014-10-09,3.9e-05,0.000108,3.9e-05,6.2e-05,6.2e-05
2014-10-10,6.2e-05,8.6e-05,5.3e-05,6.9e-05,6.9e-05
2014-10-11,6.9e-05,7.2e-05,4.7e-05,4.7e-05,4.7e-05
2014-10-12,4.7e-05,5.600000000000001e-05,3.7e-05,5.3e-05,5.3e-05
2014-10-13,5.3e-05,5.3e-05,3.9e-05,3.9e-05,3.9e-05
2014-10-14,3.9e-05,4.1e-05,3.9e-05,4e-05,4e-05
2014-10-15,4e-05,4.8e-05,3.5e-05,3.6e-05,3.6e-05
2014-10-16,3.6e-05,5.7e-05,3.4e-05,3.4e-05,3.4e-05
2014-10-17,3.4e-05,7.3e-05,3.4e-05,7.3e-05,7.3e-05
2014-10-18,7.3e-05,7.3e-05,3.9e-05,3.9e-05,3.9e-05
2014-10-19,3.9e-05,3.9e-05,3.9e-05,3.9e-05,3.9e-05
2014-10-20,3.9e-05,3.9e-05,3.8e-05,3.8e-05,3.8e-05
2014-10-21,3.8e-05,4.2e-05,3.1e-05,3.1e-05,3.1e-05
2014-10-22,3.1e-05,3.1e-05,2.7e-05,2.7e-05,2.7e-05
2014-10-23,2.7e-05,3.6e-05,1.8e-05,1.8e-05,1.8e-05
2014-10-24,1.8e-05,2.2e-05,1.8e-05,1.8e-05,1.8e-05
2014-10-25,1.8e-05,1.8e-05,3e-06,7.000000000000002e-06,7.000000000000002e-06
2014-10-26,7.000000000000002e-06,3.2e-05,7.000000000000002e-06,3.2e-05,3.2e-05
2014-10-27,3.2e-05,3.2e-05,3.1e-05,3.2e-05,3.2e-05
2014-10-28,4e-06,4e-06,4e-06,4e-06,4e-06
2014-10-29,4e-06,4e-06,3e-06,3e-06,3e-06
2014-10-30,,,,,
2014-10-31,,,,,
2014-11-01,3e-06,3e-06,3e-06,3e-06,3e-06
2014-11-02,3e-06,3e-06,3e-06,3e-06,3e-06
2014-11-03,3e-06,3e-06,3e-06,3e-06,3e-06
2014-11-04,2e-05,2e-05,2e-05,2e-05,2e-05
2014-11-05,2e-05,2.1e-05,2e-05,2e-05,2e-05
2014-11-06,1e-05,1.1e-05,1e-05,1e-05,1e-05
2014-11-07,1e-05,1.1e-05,1e-05,1e-05,1e-05
2014-11-08,1e-05,1e-05,1e-05,1e-05,1e-05
2014-11-09,,,,,
2014-11-10,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-11,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-12,1.1e-05,1.3e-05,1.1e-05,1.3e-05,1.3e-05
2014-11-13,1.3e-05,1.4e-05,1.2e-05,1.3e-05,1.3e-05
2014-11-14,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05
2014-11-15,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-16,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05
2014-11-17,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05
2014-11-18,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-19,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-20,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-21,1.1e-05,1.1e-05,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06
2014-11-22,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06
2014-11-23,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06,7.000000000000002e-06
2014-11-24,7.000000000000002e-06,1.5e-05,7.000000000000002e-06,1.1e-05,1.1e-05
2014-11-25,1.1e-05,3.4e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-26,1.1e-05,3.4e-05,1.1e-05,1.1e-05,1.1e-05
2014-11-27,1.1e-05,2.6e-05,1.1e-05,2.6e-05,2.6e-05
2014-11-28,2.6e-05,5.400000000000001e-05,1.4e-05,5.3e-05,5.3e-05
2014-11-29,5.3e-05,5.400000000000001e-05,3e-05,3e-05,3e-05
2014-11-30,3e-05,0.000375,3e-05,0.000374,0.000374
2014-12-01,0.000374,0.00038,3.8e-05,0.000114,0.000114
2014-12-02,0.000114,0.000115,3.8e-05,0.000114,0.000114
2014-12-03,0.000115,0.000376,7.900000000000001e-05,0.000113,0.000113
2014-12-04,0.000113,0.000355,0.00011,0.000155,0.000155
2014-12-05,0.000155,0.000157,0.00013000000000000002,0.000132,0.000132
2014-12-06,0.000132,0.000143,0.00013000000000000002,0.000131,0.000131
2014-12-07,0.000131,0.000357,0.000131,0.000338,0.000338
2014-12-08,0.000337,0.000338,5.8e-05,5.8e-05,5.8e-05
2014-12-09,5.8e-05,5.8e-05,4.2e-05,4.6e-05,4.6e-05
2014-12-10,4.6e-05,0.00026000000000000003,4.5e-05,8.7e-05,8.7e-05
2014-12-11,8.6e-05,9e-05,8.499999999999999e-05,8.9e-05,8.9e-05
2014-12-12,,,,,
2014-12-13,,,,,
2014-12-14,0.000171,0.000261,0.000104,0.00026000000000000003,0.00026000000000000003
2014-12-15,0.00026000000000000003,0.000326,0.000173,0.000325,0.000325
2014-12-16,0.000325,0.000325,0.000309,0.000311,0.000311
2014-12-17,0.000223,0.000239,0.000221,0.000237,0.000237
2014-12-18,0.000237,0.000965,0.000237,0.00062,0.00062
2014-12-19,0.0006190000000000001,0.00064,0.000309,0.0006389999999999999,0.0006389999999999999
2014-12-20,0.000638,0.000986,0.0006320000000000001,0.00066,0.00066
2014-12-21,0.000659,0.0008150000000000001,0.000321,0.000321,0.000321
2014-12-22,0.000321,0.001325,0.00032,0.001324,0.001324
2014-12-23,0.001325,0.001666,0.000769,0.0007700000000000001,0.0007700000000000001
2014-12-24,0.000769,0.0007700000000000001,0.000723,0.000726,0.000726
2014-12-25,0.000725,0.00091,0.000662,0.0006730000000000001,0.0006730000000000001
2014-12-26,0.000699,0.000808,0.000583,0.000587,0.000587
2014-12-27,0.00059,0.0006900000000000001,0.000475,0.0006900000000000001,0.0006900000000000001
2014-12-28,0.0006900000000000001,0.000955,0.000621,0.000692,0.000692
2014-12-29,0.000664,0.000715,0.000567,0.00057,0.00057
2014-12-30,0.00057,0.000598,0.000523,0.00053,0.00053
2014-12-31,0.00053,0.000611,0.000489,0.000515,0.000515
2015-01-01,0.000515,0.000625,0.000509,0.000552,0.000552
2015-01-02,0.000552,0.000611,0.0005009999999999999,0.000557,0.000557
2015-01-03,0.000557,0.000614,0.000443,0.000443,0.000443
2015-01-04,0.000443,0.000468,0.000235,0.000263,0.000263
2015-01-05,0.000267,0.000469,0.00023,0.000299,0.000299
2015-01-06,0.000299,0.000404,0.000282,0.00034,0.00034
2015-01-07,0.00034,0.000466,0.000304,0.000399,0.000399
2015-01-08,0.000398,0.000453,0.000303,0.000326,0.000326
2015-01-09,0.000325,0.000344,0.00022,0.000263,0.000263
2015-01-10,0.000265,0.000313,0.000217,0.000217,0.000217
2015-01-11,0.000217,0.000454,0.000167,0.000293,0.000293
2015-01-12,0.000293,0.000381,0.000267,0.000309,0.000309
2015-01-13,0.000309,0.000349,0.000239,0.000267,0.000267
2015-01-14,0.000264,0.000554,0.000195,0.0004860000000000001,0.0004860000000000001
2015-01-15,0.000481,0.002337,0.000451,0.001433,0.001433
2015-01-16,0.001415,0.002784,0.001192,0.001983,0.001983
2015-01-17,0.00198,0.002303,0.001833,0.001845,0.001845
2015-01-18,0.001853,0.002623,0.001797,0.00228,0.00228
2015-01-19,0.002292,0.002703,0.002137,0.00224,0.00224
2015-01-20,0.00222,0.002339,0.002166,0.002206,0.002206
2015-01-21,0.002207,0.00237,0.001963,0.002273,0.002273
2015-01-22,0.002278,0.00255,0.0022670000000000004,0.002357,0.002357
2015-01-23,0.002358,0.002623,0.002238,0.002465,0.002465
2015-01-24,0.002463,0.003311,0.002408,0.003176,0.003176
2015-01-25,0.003212,0.004985,0.003038,0.003266,0.003266
2015-01-26,0.003287,0.0040490000000000005,0.001922,0.002288,0.002288
2015-01-27,0.002286,0.002772,0.001115,0.001904,0.001904
2015-01-28,0.001903,0.003215,0.001785,0.002202,0.002202
2015-01-29,0.002196,0.002272,0.001886,0.002001,0.002001
2015-01-30,0.001994,0.002026,0.0016350000000000002,0.001987,0.001987
2015-01-31,0.001827,0.001918,0.001675,0.001684,0.001684
2015-02-01,0.001679,0.001745,0.00158,0.001656,0.001656
2015-02-02,0.0016530000000000002,0.0017280000000000002,0.001016,0.001248,0.001248
2015-02-03,0.001247,0.001469,0.001179,0.001313,0.001313
2015-02-04,0.001314,0.001315,0.0011220000000000002,0.001135,0.001135
2015-02-05,0.001135,0.001222,0.001052,0.001085,0.001085
2015-02-06,0.001086,0.0011220000000000002,0.000958,0.000958,0.000958
2015-02-07,0.000958,0.000977,0.000787,0.0008380000000000001,0.0008380000000000001
2015-02-08,0.0008380000000000001,0.001143,0.00074,0.001057,0.001057
2015-02-09,0.001057,0.001118,0.000824,0.000968,0.000968
2015-02-10,0.000969,0.001073,0.000792,0.0008460000000000001,0.0008460000000000001
2015-02-11,0.0008460000000000001,0.001001,0.00078,0.000782,0.000782
2015-02-12,0.000782,0.000858,0.000576,0.000741,0.000741
2015-02-13,0.000742,0.000789,0.000573,0.000719,0.000719
2015-02-14,0.000719,0.0007440000000000001,0.000545,0.000714,0.000714
2015-02-15,0.000713,0.000717,0.000367,0.000478,0.000478
2015-02-16,0.00048,0.000592,0.0004440000000000001,0.000535,0.000535
2015-02-17,0.000522,0.000745,0.0005070000000000001,0.000603,0.000603
2015-02-18,0.000603,0.000661,0.000563,0.000628,0.000628
2015-02-19,0.000628,0.000941,0.000628,0.0008410000000000001,0.0008410000000000001
2015-02-20,0.000839,0.0015810000000000002,0.000727,0.001243,0.001243
2015-02-21,0.00121,0.001907,0.00121,0.001696,0.001696
2015-02-22,0.001697,0.001697,0.001098,0.001212,0.001212
2015-02-23,0.0012109999999999998,0.0015949999999999998,0.001082,0.001217,0.001217
2015-02-24,0.001218,0.001306,0.00108,0.00108,0.00108
2015-02-25,0.00108,0.001569,0.0009789999999999998,0.001269,0.001269
2015-02-26,0.001268,0.001387,0.001084,0.001182,0.001182
2015-02-27,0.001153,0.001288,0.001078,0.001277,0.001277
2015-02-28,0.001279,0.001336,0.000947,0.001221,0.001221
2015-03-01,0.001221,0.001242,0.001049,0.001138,0.001138
2015-03-02,0.001137,0.001155,0.000843,0.000972,0.000972
2015-03-03,0.000935,0.001048,0.000904,0.000983,0.000983
2015-03-04,0.000983,0.000989,0.000608,0.0008230000000000001,0.0008230000000000001
2015-03-05,0.000822,0.0008990000000000002,0.000597,0.00063,0.00063
2015-03-06,0.00063,0.001216,0.0006129999999999999,0.000872,0.000872
2015-03-07,0.000872,0.001104,0.000745,0.000771,0.000771
2015-03-08,0.000771,0.0008880000000000002,0.000655,0.000661,0.000661
2015-03-09,0.000661,0.000786,0.000575,0.000603,0.000603
2015-03-10,0.000602,0.000665,0.000466,0.000576,0.000576
2015-03-11,0.000576,0.000643,0.000471,0.000534,0.000534
2015-03-12,0.000533,0.000687,0.000474,0.000687,0.000687
2015-03-13,0.000686,0.000883,0.000499,0.0005269999999999999,0.0005269999999999999
2015-03-14,0.000525,0.000567,0.000471,0.000491,0.000491
2015-03-15,0.000491,0.000573,0.000491,0.0005059999999999999,0.0005059999999999999
2015-03-16,0.0005070000000000001,0.000736,0.000503,0.0006190000000000001,0.0006190000000000001
2015-03-17,0.0006190000000000001,0.00067,0.000575,0.000582,0.000582
2015-03-18,0.000582,0.000604,0.000474,0.000517,0.000517
2015-03-19,0.000516,0.000571,0.000422,0.000422,0.000422
2015-03-20,0.000422,0.000422,0.000389,0.000393,0.000393
2015-03-21,0.000393,0.000422,0.000383,0.000421,0.000421
2015-03-22,0.000421,0.000445,0.000418,0.000442,0.000442
2015-03-23,0.000442,0.000458,0.000432,0.00044,0.00044
2015-03-24,0.000369,0.000377,0.000368,0.000368,0.000368
2015-03-25,0.000368,0.000627,0.000355,0.000625,0.000625
2015-03-26,0.000625,0.0006450000000000001,0.0006219999999999999,0.00064,0.00064
2015-03-27,6.9e-05,0.00046,6.9e-05,0.000442,0.000442
2015-03-28,0.000442,0.000455,0.000442,0.000451,0.000451
2015-03-29,0.00031800000000000003,0.000319,0.000313,0.00031600000000000004,0.00031600000000000004
2015-03-30,0.00031600000000000004,0.000324,0.000311,0.000322,0.000322
2015-03-31,0.000322,0.001685,0.00031600000000000004,0.000732,0.000732
2015-04-01,0.000733,0.000736,0.00031600000000000004,0.000407,0.000407
2015-04-02,0.000407,0.000602,0.000407,0.000539,0.000539
2015-04-03,0.000539,0.000758,0.000531,0.000562,0.000562
2015-04-04,0.000562,0.000784,0.000476,0.000594,0.000594
2015-04-05,0.000594,0.000884,0.000573,0.000681,0.000681
2015-04-06,0.000681,0.000698,0.000594,0.0006309999999999999,0.0006309999999999999
2015-04-07,0.0006309999999999999,0.000685,0.000471,0.000471,0.000471
2015-04-08,0.000471,0.000719,0.000443,0.0005650000000000001,0.0005650000000000001
2015-04-09,0.0005650000000000001,0.0006580000000000001,0.00054,0.000544,0.000544
2015-04-10,0.000543,0.00065,0.000522,0.000554,0.000554
2015-04-11,0.0005549999999999999,0.000576,0.000521,0.000535,0.000535
2015-04-12,0.000535,0.000825,0.000534,0.0006190000000000001,0.0006190000000000001
2015-04-13,0.0006190000000000001,0.0006519999999999999,0.000599,0.000609,0.000609
2015-04-14,0.000609,0.000643,0.000572,0.000576,0.000576
2015-04-15,0.000576,0.000603,0.000575,0.000582,0.000582
2015-04-16,0.000582,0.00062,0.000536,0.000538,0.000538
2015-04-17,0.000538,0.000576,0.00047,0.000481,0.000481
2015-04-18,0.000481,0.000557,0.00048,0.000518,0.000518
2015-04-19,0.000518,0.00057,0.000518,0.000563,0.000563
2015-04-20,0.000563,0.0005690000000000001,0.0005139999999999999,0.000523,0.000523
2015-04-21,0.000523,0.0005650000000000001,0.000479,0.000499,0.000499
2015-04-22,0.0005009999999999999,0.000521,0.0004980000000000001,0.0005099999999999999,0.0005099999999999999
2015-04-23,0.0005099999999999999,0.000549,0.000483,0.000549,0.000549
2015-04-24,0.000549,0.000553,0.000534,0.000552,0.000552
2015-04-25,0.000552,0.000594,0.000531,0.000545,0.000545
2015-04-26,0.000545,0.000653,0.000544,0.000575,0.000575
